,0,1,2,3,4,5,6,7,8,9,10
0,Val Acc.,93.125,93.125,92.8125,88.125,92.5,96.25,88.75,77.1875,78.125,61.5625
1,Precision,0.9294478229928188,0.9309574239234055,0.9258342681619205,0.8835354317165464,0.9257005301309099,0.961038961038961,0.8877949679637444,0.7709178190765161,0.7882553720789014,0.6094041296907484
2,F1_score,0.9271863737443446,0.9311350163744144,0.9244516410695365,0.878343005208571,0.9251227051538528,0.9611047470004985,0.8879840423095839,0.7660937552657299,0.78234477576275,0.6120617653212017
3,Recall,0.9269866184677829,0.9326451508731586,0.9235654239766082,0.8809611496088275,0.9247174840924841,0.9618530140330915,0.8882792107552836,0.763410792926922,0.7789072994200288,0.615625
4,Val Acc.,93.75,95.0,92.5,94.0625,95.0,94.6875,88.4375,83.75,81.25,59.375
5,Precision,0.9396670474278681,0.9505172512919756,0.9225135176021628,0.940755873340143,0.9534882555715889,0.9455108297499601,0.892260585115632,0.8377116897406076,0.8356512325116588,0.5874905798825956
6,F1_score,0.9343232423084444,0.9501111050256186,0.9208468008285312,0.9380495603517186,0.9514435081750892,0.943999530324941,0.8859713886560079,0.832311202300368,0.8166360013134207,0.5880426225820963
7,Recall,0.9335613980232755,0.9509941694790147,0.9205957602339182,0.9371867691279652,0.9520323426573427,0.944971870604782,0.8850660376980228,0.8320947622560526,0.8091723261271512,0.59375
8,Val Acc.,92.5,87.8125,90.9375,87.8125,91.875,90.625,87.8125,78.125,76.875,53.90625
9,Precision,0.9220959595959597,0.883421903100618,0.9057464526214526,0.8752679343128782,0.9184311740890688,0.9051959998113118,0.8799033508685408,0.7804001104576529,0.7675530434344167,0.5314840264168909
10,F1_score,0.9219832048261585,0.8784573703888086,0.9035185376967687,0.8745003451073525,0.918129143243436,0.9032978028261047,0.8797953792997258,0.7783945221297105,0.7614051548082823,0.5348130009849145
11,Recall,0.9219738288516828,0.8766836753101273,0.9048793859649122,0.8744896099556975,0.9188446969696971,0.9025733754484109,0.8798089838534421,0.777845103167684,0.7689028943251316,0.5390625
12,Val Acc.,95.0,94.6875,95.625,91.875,94.0625,95.3125,90.625,86.25,86.25,49.375
13,Precision,0.9481390950094573,0.9475659953594755,0.95497819066898,0.9179614161861769,0.9420381292812193,0.9518838464676898,0.9064893012501469,0.8657600222297026,0.866485697222945,0.5797347122772136
14,F1_score,0.948041251047645,0.9477746175033015,0.9546049723380152,0.9169219772706627,0.9414545078366374,0.9517818740399385,0.9063819068305379,0.8622942874589195,0.8634591363610842,0.5155060481908372
15,Recall,0.9481338787417555,0.948219711218282,0.9544042397660819,0.9187041137112135,0.9415152696402697,0.952723257320754,0.9071993921484505,0.8610884581852324,0.8614512713538457,0.49375
16,Val Acc.,95.0,94.375,95.9375,93.4375,94.375,90.625,89.375,80.3125,83.125,57.03125
17,Precision,0.9491007007256773,0.9459592926259592,0.9583091787439613,0.9326698867421719,0.9441307282564333,0.9141389825068207,0.8980675882121034,0.8136444866187549,0.8274334917840307,0.568405683152972
18,F1_score,0.9480914359823533,0.944467903440446,0.9573009693206699,0.9326704757983331,0.9437266337721839,0.9050757637164382,0.895710976964514,0.8029928028161868,0.8287031808770939,0.5692788863198172
19,Recall,0.9478548694441494,0.9452898123208644,0.9570084064327486,0.934136090271239,0.943942543942544,0.9070327438802763,0.8943767717308934,0.7993739521158876,0.8314881813081749,0.5703125
20,Val Acc.,92.5,92.8125,96.5625,93.4375,93.75,94.0625,87.8125,85.0,80.9375,56.56250000000001
21,Precision,0.9269400352733685,0.928507807151218,0.9638680874768204,0.9337668075065435,0.9388223477435805,0.9378417634996582,0.8896251044474379,0.8472716682964158,0.8142452349203859,0.5486191324818763
22,F1_score,0.9232334363655037,0.9289604714718257,0.9638512549491312,0.9323326778461374,0.9374241078371556,0.9379075316575316,0.8772724206309218,0.8477625840502332,0.8050743124569243,0.5529739218625331
23,Recall,0.9244778822971852,0.9299864690866464,0.9641355994152048,0.9344820002082781,0.9376181251181251,0.9384308972961013,0.8790842531966335,0.8487890371761339,0.8126862782281642,0.565625
24,Val Acc.,91.875,90.625,92.1875,86.875,92.5,92.8125,88.125,82.8125,76.5625,55.625
25,Precision,0.9196830119776177,0.9066162496040545,0.9222777963886615,0.8707736229287953,0.9257179115676306,0.9245947027970455,0.8873939145716788,0.8248454135954136,0.7721488850911836,0.5292681595509354
26,F1_score,0.9140569730825641,0.9054222907899967,0.917315293474772,0.8670470125123629,0.925234436727863,0.9238329589320622,0.8817331059556919,0.8236144401454275,0.7618523013959082,0.5248555739468881
27,Recall,0.9135490656181295,0.9071201348744172,0.9171692251461989,0.8661148198610611,0.925001575001575,0.9239266778868187,0.8811431698896967,0.8231273332886235,0.7684699406596186,0.55625
28,Val Acc.,95.9375,91.5625,91.25,90.3125,94.6875,92.1875,90.625,87.5,77.8125,60.62499999999999
29,Precision,0.960227870058873,0.9258536139503092,0.9110440719181399,0.9027445593622064,0.9480028220992076,0.9222101541868984,0.9093135812377385,0.8714225853760738,0.8140151515151515,0.584302939723826
30,F1_score,0.9568649134235325,0.9163551983564097,0.9076366453039381,0.8998419224787589,0.9472023901149638,0.9180471887550201,0.9067231717982445,0.8711943740677075,0.7780386568359966,0.5884996544624219
31,Recall,0.9561559276171148,0.9152601229744293,0.9064327485380117,0.9026685914319559,0.9469567032067032,0.9194435555239495,0.9072329723379431,0.87262557843203,0.7822001572401587,0.60625
32,Val Acc.,99.0625,99.0625,99.0625,98.4375,98.75,98.75,98.75,98.75,98.4375,98.90625
33,Precision,0.9912317620650954,0.9908536585365854,0.9900342712842713,0.985202589807853,0.9872003424657534,0.9869006849315068,0.9876852626264909,0.9876371704227427,0.9843990900666246,0.9890813017659009
34,F1_score,0.9908754600664974,0.9909008958313579,0.9899701878543912,0.9840322470141151,0.9871798307930768,0.9871258486522648,0.9875692560783041,0.9873673778296441,0.9847305540703667,0.9890525508808937
35,Recall,0.9906635802469136,0.9912040930754136,0.9899488304093568,0.9832325209037538,0.9872773341523342,0.9874292320517076,0.9875733251003396,0.9872217378668993,0.9852439197838145,0.9890625
