,0,1,2,3,4,5,6,7,8
0,Val Acc.,75.0,85.83333333333333,63.33333333333333,79.16666666666666,78.33333333333333,95.0,93.33333333333333,87.5
1,Precision,0.7650592495062541,0.8707774769779402,0.7541795551627631,0.835440980280048,0.8071597433299561,0.9519938056523422,0.9325772200772201,0.8778395119858534
2,F1_score,0.7502984974058352,0.8575071343091226,0.633850762527233,0.7941446208112876,0.7913935055108444,0.9511699000587889,0.9317204731768539,0.8788301054951977
3,Recall,0.7673160173160173,0.8586048454469507,0.6727691977691977,0.8105914523210336,0.7841249465126229,0.9516733096904456,0.9315112985325751,0.8831892533265532
4,Val Acc.,89.16666666666667,91.66666666666666,89.16666666666667,93.33333333333333,89.16666666666667,95.83333333333334,97.5,94.16666666666667
5,Precision,0.911507191994997,0.9188034188034188,0.8953920475659606,0.9305555555555557,0.9055555555555556,0.9601238869531552,0.9743589743589745,0.9413112387408593
6,F1_score,0.9035835886959482,0.9164517893420848,0.894133495197325,0.9290067879227345,0.890127087310186,0.9591064079952969,0.9725821596244132,0.9429055785531245
7,Recall,0.9034992784992785,0.9165413533834587,0.8952756327756327,0.934536065627349,0.8943089430894308,0.9594252476749418,0.9729729729729729,0.9462242562929061
8,Val Acc.,74.16666666666667,88.33333333333333,85.0,89.16666666666667,89.16666666666667,95.83333333333334,90.83333333333333,89.16666666666667
9,Precision,0.7824608104111209,0.8886211386211387,0.8527851458885941,0.885016835016835,0.8979328165374677,0.9601787101787101,0.9069272445820434,0.8931902691119934
10,F1_score,0.7708991621460014,0.8837089636719152,0.8457894736842105,0.8863082070217126,0.8944099948391084,0.9590839690658203,0.9049958228905597,0.8936072087413084
11,Recall,0.7616341991341992,0.8843984962406015,0.8445624195624196,0.8917540935385823,0.8923833975181856,0.9586301771124291,0.9037335207547974,0.898232901093313
12,Val Acc.,89.16666666666667,87.5,90.83333333333333,90.83333333333333,95.83333333333334,96.66666666666667,95.0,94.16666666666667
13,Precision,0.917654496601865,0.8816137566137566,0.9116789516789517,0.9049786063249955,0.9637681159420289,0.9716312056737588,0.9472934472934473,0.9420634920634919
14,F1_score,0.901116990005879,0.8746099846540635,0.9087526902652954,0.9054929325460725,0.9591978902323731,0.9674074074074075,0.9479193151962031,0.94233778740821
15,Recall,0.8941197691197691,0.874436090225564,0.9065851565851566,0.914103779237616,0.959349593495935,0.9655870445344129,0.9492790663003429,0.9432367149758454
16,Val Acc.,82.5,90.0,88.33333333333333,94.16666666666667,92.5,99.16666666666667,96.66666666666667,93.33333333333333
17,Precision,0.8881518334254652,0.908531746031746,0.8804202326091727,0.935264017887857,0.9263775120568266,0.9916666666666667,0.965099715099715,0.9349593495934959
18,F1_score,0.8375828778359907,0.8969605186247941,0.8785052290206931,0.9355937921727396,0.92595028038066,0.9918590220898486,0.9657216597180862,0.9339507187608453
19,Recall,0.8328823953823954,0.8964494569757727,0.8795634920634922,0.9388120839733743,0.9268292682926829,0.9922480620155039,0.9677975848188615,0.9420289855072465
20,Val Acc.,86.66666666666667,85.83333333333333,85.83333333333333,92.5,96.66666666666667,98.33333333333333,95.0,97.5
21,Precision,0.883838383838384,0.8892700590813799,0.8764880952380952,0.9329805996472663,0.9681971774995031,0.983739837398374,0.9518809718809719,0.9743589743589745
22,F1_score,0.883838383838384,0.8615453280197333,0.8598867424305453,0.9206830005034403,0.9674603174603176,0.9837301587301588,0.9474206629410696,0.9754307116104869
23,Recall,0.883838383838384,0.8610693400167085,0.8509867009867009,0.9144905273937532,0.9674796747967479,0.9844961240310077,0.9456956956956958,0.9782608695652174
24,Val Acc.,80.83333333333333,90.0,85.0,84.16666666666667,95.0,98.33333333333333,91.66666666666666,88.33333333333333
25,Precision,0.8798309178743962,0.8985879332477534,0.8982498982498983,0.8656462585034014,0.9512195121951219,0.9851851851851853,0.9126326454433956,0.9051120448179271
26,F1_score,0.8205691911574263,0.8982831912445102,0.8332587801306769,0.833994708994709,0.9512195121951219,0.9836507936507936,0.9124922795135562,0.8834733893557423
27,Recall,0.8220598845598844,0.8981620718462824,0.8311507936507936,0.8525835866261398,0.9512195121951219,0.9826810616284302,0.9132430302643068,0.8762818882956184
28,Val Acc.,87.5,88.33333333333333,94.16666666666667,86.66666666666667,83.33333333333334,97.5,94.16666666666667,99.16666666666667
29,Precision,0.8880155510480053,0.8890816900190278,0.9403772193245877,0.8751851851851852,0.8907103825136612,0.9782608695652174,0.9469696969696969,0.9929078014184397
30,F1_score,0.8880914407230197,0.8801247912682987,0.9426881720430108,0.8654940541522128,0.8271136411553869,0.9754307116104869,0.942943014353751,0.9919713261648745
31,Recall,0.8901515151515151,0.881140350877193,0.9462301587301587,0.8783595341591224,0.8373983739837398,0.9743589743589745,0.94602048857368,0.9912280701754387
32,Val Acc.,99.16666666666667,99.16666666666667,98.33333333333333,99.16666666666667,99.16666666666667,99.16666666666667,99.16666666666667,99.16666666666667
33,Precision,0.9885057471264368,0.9922480620155039,0.9842836257309941,0.9930555555555555,0.9914529914529915,0.9914529914529915,0.9912280701754387,0.9914529914529915
34,F1_score,0.9906432748538011,0.9918590220898486,0.983780193236715,0.9910267471958584,0.991555769333547,0.9917494270435446,0.9919713261648745,0.992007992007992
35,Recall,0.9930555555555555,0.9916666666666667,0.983531746031746,0.989247311827957,0.991869918699187,0.9922480620155039,0.9929078014184397,0.9927536231884058
