,0,1,2,3,4,5,6,7,8
0,Val Acc.,0.8333333333333334,0.8880597014925373,0.75,0.925,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9083333333333333
1,Precision,0.8352116624614522,0.8991181657848325,0.7508294772351499,0.918487197556965,0.849551414768806,0.9335157390035439,0.9339752029844196,0.9104244104244105
2,F1_score,0.8340526189966909,0.8886777757807619,0.7488215488215487,0.9198933419521654,0.8383906727072493,0.9337189910360643,0.9275240798073615,0.9096414509672895
3,Recall,0.8387445887445887,0.8885281385281384,0.7488470613470612,0.9226558159296663,0.8335472828412493,0.9361694337214533,0.9276776776776777,0.9162640901771336
4,Val Acc.,87.5,91.7910447761194,89.16666666666667,95.0,80.0,94.16666666666669,93.33333333333331,95.83333333333334
5,Precision,0.8782705389848248,0.9234108527131782,0.8946923383962521,0.9514790764790764,0.8353661932609301,0.9427912232790282,0.9327009936766034,0.9611170024743724
6,F1_score,0.8808799901124705,0.91895674657823,0.8948226731211592,0.9457212206709126,0.7801349728812156,0.942346932110619,0.9324786324786324,0.958356264905522
7,Recall,0.8939393939393939,0.9217171717171716,0.9004343629343629,0.9419605407937598,0.8048780487804877,0.94335122242099,0.9350946691372224,0.957729468599034
8,Val Acc.,80.0,89.55223880597015,80.83333333333333,93.33333333333331,70.83333333333334,90.0,72.5,90.0
9,Precision,0.8433622828784119,0.9023053665910808,0.8255650647355717,0.946760274974404,0.7831838049229353,0.9170966632266944,0.8320261437908497,0.9054197436550376
10,F1_score,0.8067765879086634,0.8937138130686518,0.8098799934242972,0.9258110516934046,0.6574242424242425,0.9018077107662772,0.7325272428720705,0.9029775102945836
11,Recall,0.8327020202020202,0.9021464646464646,0.8330544830544832,0.9167946748591912,0.7148053059477965,0.8985761960058166,0.7337017868932764,0.9054792779049072
12,Val Acc.,94.16666666666669,93.28358208955224,86.66666666666667,94.16666666666669,92.5,95.0,94.16666666666669,91.66666666666666
13,Precision,0.9460315869197184,0.9353884372177056,0.8814856289660321,0.9446262956901256,0.9263775120568266,0.95599199854519,0.9392712550607288,0.9265873015873016
14,F1_score,0.9467718907078174,0.9328339575530586,0.8718146677590807,0.9332455371435202,0.92595028038066,0.9506177232204628,0.9407407407407408,0.9175693101225016
15,Recall,0.9507575757575758,0.9368686868686869,0.8821803946803947,0.9283916723861816,0.9268292682926828,0.9495130192804612,0.9446041786467316,0.9154589371980676
16,Val Acc.,87.5,85.82089552238806,76.66666666666667,93.33333333333331,90.83333333333331,95.83333333333334,85.0,93.33333333333331
17,Precision,0.8963133640552995,0.8826676620629588,0.8281335522714833,0.932601272255913,0.9178921568627452,0.9652777777777778,0.8593576965669989,0.9408875338753389
18,F1_score,0.8813224523958988,0.8548453808215739,0.7592107756400505,0.9245437085734046,0.909912609238452,0.9588539314566712,0.8505784865540962,0.9340973559351105
19,Recall,0.8958333333333334,0.8674242424242425,0.8055555555555555,0.9212994738046212,0.9105691056910568,0.9572649572649572,0.8608395629672225,0.9319645732689212
20,Val Acc.,98.33333333333331,93.28358208955224,94.16666666666669,97.5,95.83333333333334,99.16666666666669,96.66666666666669,92.5
21,Precision,0.985479797979798,0.9370567375886524,0.943377350940376,0.9705882352941176,0.9611499611499612,0.9914529914529916,0.9666666666666668,0.928091546696198
22,F1_score,0.985479797979798,0.9323060081680772,0.9421285920613576,0.9736263736263736,0.959281045751634,0.9917494270435446,0.9634085213032582,0.9268058782925764
23,Recall,0.985479797979798,0.9375,0.9410714285714286,0.9787234042553192,0.9587077449721866,0.992248062015504,0.963963963963964,0.9292312907873548
24,Val Acc.,94.16666666666669,89.55223880597015,85.83333333333333,96.66666666666669,92.5,96.66666666666669,94.16666666666669,92.5
25,Precision,0.9447054250652452,0.898328323577493,0.8890472796388691,0.961904761904762,0.925599332916406,0.9716312056737588,0.9409722222222222,0.9454545454545454
26,F1_score,0.9468402188266364,0.8960240270585099,0.8514919993817344,0.9647929045519408,0.9261136334307064,0.9671575507191944,0.9363590134757184,0.9272328475083532
27,Recall,0.9501262626262628,0.8998917748917749,0.8437687687687688,0.9707868963188112,0.9268292682926828,0.9651372019793072,0.9366866866866866,0.9195906432748536
28,Val Acc.,95.83333333333334,97.76119402985076,97.5,97.5,99.16666666666669,100.0,97.5,96.66666666666669
29,Precision,0.9648148148148148,0.9777553083923154,0.9746120620700688,0.9779040404040404,0.992063492063492,1.0,0.973196881091618,0.9664983164983164
30,F1_score,0.9615254933628004,0.9779183357930986,0.9755054302422722,0.9717901375433065,0.9918687094055232,1.0,0.9737081314633236,0.9673789173789176
31,Recall,0.9603174603174603,0.9791666666666666,0.9765873015873016,0.967741935483871,0.991869918699187,1.0,0.9748897834004217,0.9690016103059582
32,Val Acc.,99.16666666666669,100.0,99.16666666666669,100.0,100.0,100.0,100.0,99.16666666666669
33,Precision,0.9885057471264368,1.0,0.9907407407407408,1.0,1.0,1.0,1.0,0.9929078014184396
34,F1_score,0.9906432748538012,1.0,0.9917963923894244,1.0,1.0,1.0,1.0,0.9919713261648744
35,Recall,0.9930555555555556,1.0,0.9930555555555556,1.0,1.0,1.0,1.0,0.9912280701754388
